iter	Logloss
0	0.6558478229
1	0.6137199397
2	0.5876445369
3	0.5525786019
4	0.5286560187
5	0.5017790697
6	0.4790153243
7	0.4514571801
8	0.4248613296
9	0.402060134
10	0.3823704416
11	0.368179681
12	0.3468942586
13	0.3306865512
14	0.3132318052
15	0.2975478605
16	0.2830209104
17	0.2662484079
18	0.2543928116
19	0.2390940943
20	0.2278658757
21	0.2175292421
22	0.2072159369
23	0.1963727768
24	0.1866353086
25	0.1813772089
26	0.1737139716
27	0.1679706667
28	0.1610619683
29	0.1523246797
30	0.1461959107
31	0.1381671703
32	0.1316848138
33	0.1263943414
34	0.1209077362
35	0.1156991824
36	0.1093419432
37	0.10321178
38	0.1002410719
39	0.09596182556
40	0.09156121084
41	0.08939886206
42	0.0869326865
43	0.08304705003
44	0.07923249843
45	0.07607624463
46	0.0733522986
47	0.07077126017
48	0.06926446339
49	0.06694613861
50	0.06410388473
51	0.06136949564
52	0.05981658002
53	0.05838042508
54	0.05637209004
55	0.05478519901
56	0.05367301952
57	0.05258620605
58	0.05030519319
59	0.04825420995
60	0.04750646266
61	0.04628453896
62	0.04547908666
63	0.0448614028
64	0.04348096328
65	0.04198232351
66	0.04099827989
67	0.04013652581
68	0.03914724344
69	0.03855741977
70	0.0381086322
71	0.0374861229
72	0.03687912349
73	0.03634577028
74	0.03581991285
75	0.03523059808
76	0.03398850846
77	0.03327741932
78	0.03282850406
79	0.03180709667
80	0.03066923727
81	0.0301977641
82	0.02938442781
83	0.02860765727
84	0.02774121201
85	0.0274957698
86	0.02713163892
87	0.02682922959
88	0.02659409759
89	0.026252865
90	0.02548818692
91	0.02527314365
92	0.02469025708
93	0.02395403713
94	0.02364258475
95	0.02344803622
96	0.02308570803
97	0.02293219473
98	0.02226131058
99	0.02165710388
100	0.0212043334
101	0.02070571118
102	0.02042994741
103	0.01995467336
104	0.01976207716
105	0.01971195738
106	0.01929385293
107	0.01913946849
108	0.01859626879
109	0.01855257724
110	0.01803355962
111	0.01782355479
112	0.01759619059
113	0.01745725481
114	0.01730057732
115	0.01725064377
116	0.01711464075
117	0.01678238215
118	0.01671729892
119	0.01631984504
120	0.01596710094
121	0.01584699956
122	0.01551331539
123	0.01537301423
124	0.01527178585
125	0.015201994
126	0.01487895779
127	0.01483926624
128	0.01479464053
129	0.01460231288
130	0.01457053566
131	0.01449313909
132	0.01418714462
133	0.01379657676
134	0.01377947325
135	0.01351955794
136	0.01345532464
137	0.01310612812
138	0.01293792975
139	0.01264994875
140	0.01261644175
141	0.01259429891
142	0.01253861936
143	0.01251613441
144	0.01249654415
145	0.01246270683
146	0.01239933112
147	0.01232180793
148	0.0122727105
149	0.01219154677
150	0.01217066027
151	0.01214620784
152	0.01183983427
153	0.01160015667
154	0.01147154303
155	0.01135011273
156	0.01130990418
157	0.0112814177
158	0.01110754556
159	0.01106250813
