Location,Latitude,Longitude,Site,Space_Center_Name,Country
"Site 35/1, Plesetsk Cosmodrome, Russia",62.927,40.561,Site 35/1,Plesetsk Cosmodrome,Russia
"Site 175/59, Baikonur Cosmodrome, Kazakhstan",45.9185,63.3426,Site 175/59,Baikonur Cosmodrome,Kazakhstan
"LP Odyssey, Kiritimati Launch Area, Pacific Ocean",1.87,-157.35,LP Odyssey,Kiritimati Launch Area,Pacific Ocean
"Jiuquan Satellite Launch Center, China",28.246,100.279,Jiuquan Satellite Launch Center,Jiuquan Satellite Launch Center,China
"Stargazer, Vandenberg AFB, California, USA",34.5843,-120.6269,Stargazer,Vandenberg AFB,USA
"LC-1, Naro Space Center, South Korea",34.4313,127.534,LC-1,Naro Space Center,South Korea
"Stargazer, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA",9.048,167.731,Stargazer,Ronald Reagan Ballistic Missile Defense Test Site,USA
"LP-1, Pacific Spaceport Complex, Alaska, USA",57.4359,-152.3375,LP-1,Pacific Spaceport Complex,USA
"SLC-17B, Cape Canaveral AFS, Florida, USA",28.4383,-80.5731,SLC-17B,Cape Canaveral AFS,USA
"SLC-8, Vandenberg AFB, California, USA",34.5843,-120.6269,SLC-8,Vandenberg AFB,USA
"Site 16/2, Plesetsk Cosmodrome, Russia",62.927,40.561,Site 16/2,Plesetsk Cosmodrome,Russia
"Site 109/95, Baikonur Cosmodrome, Kazakhstan",45.9185,63.3426,Site 109/95,Baikonur Cosmodrome,Kazakhstan
"Site 132/1, Plesetsk Cosmodrome, Russia",62.927,40.561,Site 132/1,Plesetsk Cosmodrome,Russia
"LC-39B, Kennedy Space Center, Florida, USA",28.6084,-80.6219,LC-39B,Kennedy Space Center,USA
"SLC-17A, Cape Canaveral AFS, Florida, USA",28.4383,-80.5731,SLC-17A,Cape Canaveral AFS,USA
"Omelek Island, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA",9.048,167.731,Omelek Island,Ronald Reagan Ballistic Missile Defense Test Site,USA
"Pad 1, Tonghae Satellite Launching Ground, North Korea",40.8505,129.6631,Pad 1,Tonghae Satellite Launching Ground,North Korea
"Site 32/2, Plesetsk Cosmodrome, Russia",62.927,40.561,Site 32/2,Plesetsk Cosmodrome,Russia
"LC-7, Taiyuan Satellite Launch Center, China",38.8492,111.6086,LC-7,Taiyuan Satellite Launch Center,China
"Site 90/20, Baikonur Cosmodrome, Kazakhstan",45.9185,63.3426,Site 90/20,Baikonur Cosmodrome,Kazakhstan
"K-84 Submarine, Barents Sea Launch Area, Barents Sea",73.0,32.0,K-84 Submarine,Barents Sea Launch Area,Barents Sea
"Svobodny Cosmodrome, Russia",51.4167,128.1167,Svobodny Cosmodrome,Svobodny Cosmodrome,Russia
"K-496 Submarine, Barents Sea Launch Area, Barents Sea",73.0,32.0,K-496 Submarine,Barents Sea Launch Area,Barents Sea
"SLC-36B, Cape Canaveral AFS, Florida, USA",28.4383,-80.5731,SLC-36B,Cape Canaveral AFS,USA
"SLC-36A, Cape Canaveral AFS, Florida, USA",28.4383,-80.5731,SLC-36A,Cape Canaveral AFS,USA
"SLC-4W, Vandenberg AFB, California, USA",34.5843,-120.6269,SLC-4W,Vandenberg AFB,USA
"VLS Pad, Alc?›ntara Launch Center, Maranh?œo, Brazil",-2.3703,-44.3961,VLS Pad,Alc?›ntara Launch Center,Brazil
"ELA-2, Guiana Space Centre, French Guiana, France",5.236,-52.768,ELA-2,Guiana Space Centre,France
"Site 32/1, Plesetsk Cosmodrome, Russia",62.927,40.561,Site 32/1,Plesetsk Cosmodrome,Russia
"Site 107/1, Kapustin Yar, Russia",48.567,46.295,Site 107/1,Kapustin Yar,Russia
"Stargazer, Wallops Flight Facility, Virginia, USA",37.8387,-75.478,Stargazer,Wallops Flight Facility,USA
"Site 41/1, Plesetsk Cosmodrome, Russia",62.927,40.561,Site 41/1,Plesetsk Cosmodrome,Russia
"K-407 Submarine, Barents Sea Launch Area, Barents Sea",73.0,32.0,K-407 Submarine,Barents Sea Launch Area,Barents Sea
"Site 81/23, Baikonur Cosmodrome, Kazakhstan",45.9185,63.3426,Site 81/23,Baikonur Cosmodrome,Kazakhstan
"Stargazer, Base Aerea de Gando, Gran Canaria",27.9319,-15.3874,Stargazer,Base Aerea de Gando,Gran Canaria
"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",40.9668,100.302,Site 138 (LA-2B),Jiuquan Satellite Launch Center,China
"Site 158, Plesetsk Cosmodrome, Russia",62.927,40.561,Site 158,Plesetsk Cosmodrome,Russia
"SLC-3W, Vandenberg AFB, California, USA",34.5843,-120.6269,SLC-3W,Vandenberg AFB,USA
"Site 175/58, Baikonur Cosmodrome, Kazakhstan",45.9185,63.3426,Site 175/58,Baikonur Cosmodrome,Kazakhstan
"NB-52B Carrier, Edwards AFB, California, USA",34.905,-117.885,NB-52B Carrier,Edwards AFB,USA
"SLV LP, Satish Dhawan Space Centre, India",13.7191,80.2305,SLV LP,Satish Dhawan Space Centre,India
"NB-52B Carrier, Cape Canaveral AFS, Florida, USA",28.4383,-80.5731,NB-52B Carrier,Cape Canaveral AFS,USA
"SLC-N, Tanegashima Space Center, Japan",30.4018,130.9758,SLC-N,Tanegashima Space Center,Japan
"Site 131/29, Baikonur Cosmodrome, Kazakhstan",45.9185,63.3426,Site 131/29,Baikonur Cosmodrome,Kazakhstan
"Site 45/2, Baikonur Cosmodrome, Kazakhstan",45.9185,63.3426,Site 45/2,Baikonur Cosmodrome,Kazakhstan
"Site 132/2, Plesetsk Cosmodrome, Russia",62.927,40.561,Site 132/2,Plesetsk Cosmodrome,Russia
"ELA-1, Guiana Space Centre, French Guiana, France",5.236,-52.768,ELA-1,Guiana Space Centre,France
"Site 90/19, Baikonur Cosmodrome, Kazakhstan",45.9185,63.3426,Site 90/19,Baikonur Cosmodrome,Kazakhstan
"Site 110/37, Baikonur Cosmodrome, Kazakhstan",45.9185,63.3426,Site 110/37,Baikonur Cosmodrome,Kazakhstan
"Site 86/1, Kapustin Yar, Russia",48.567,46.295,Site 86/1,Kapustin Yar,Russia
"SM Launch Tab, San Marco Launch Platform, Kenya",-2.934,40.212,SM Launch Tab,San Marco Launch Platform,Kenya
"Site 250, Baikonur Cosmodrome, Kazakhstan",45.9185,63.3426,Site 250,Baikonur Cosmodrome,Kazakhstan
"LC-13, Cape Canaveral AFS, Florida, USA",28.4383,-80.5731,LC-13,Cape Canaveral AFS,USA
